DateTime,Junction,Vehicles,ID,Temperature,Precipitation,Humidity,WindSpeed,Date,Event_Type,Event_Name,Event_Flag
2015-11-01 00:00:00,1,15,20151101001,23.2,0.0,67,11.4,2015-11-01,No Event,No Event,0
2015-11-01 01:00:00,1,13,20151101011,22.6,0.0,70,10.7,2015-11-01,No Event,No Event,0
2015-11-01 02:00:00,1,10,20151101021,22.0,0.0,73,10.0,2015-11-01,No Event,No Event,0
2015-11-01 03:00:00,1,7,20151101031,21.5,0.0,75,8.2,2015-11-01,No Event,No Event,0
2015-11-01 04:00:00,1,9,20151101041,21.0,0.0,77,8.4,2015-11-01,No Event,No Event,0
2015-11-01 05:00:00,1,6,20151101051,20.6,0.0,79,9.0,2015-11-01,No Event,No Event,0
2015-11-01 06:00:00,1,9,20151101061,20.3,0.0,80,9.1,2015-11-01,No Event,No Event,0
2015-11-01 07:00:00,1,8,20151101071,20.9,0.0,77,10.3,2015-11-01,No Event,No Event,0
2015-11-01 08:00:00,1,11,20151101081,23.2,0.0,66,14.4,2015-11-01,No Event,No Event,0
2015-11-01 09:00:00,1,12,20151101091,25.5,0.0,56,15.7,2015-11-01,No Event,No Event,0
2015-11-01 10:00:00,1,15,20151101101,27.5,0.0,46,15.1,2015-11-01,No Event,No Event,0
2015-11-01 11:00:00,1,17,20151101111,28.9,0.0,41,10.9,2015-11-01,No Event,No Event,0
2015-11-01 12:00:00,1,16,20151101121,29.8,0.0,39,8.7,2015-11-01,No Event,No Event,0
2015-11-01 13:00:00,1,15,20151101131,30.3,0.0,36,7.6,2015-11-01,No Event,No Event,0
2015-11-01 14:00:00,1,16,20151101141,30.9,0.0,34,7.6,2015-11-01,No Event,No Event,0
2015-11-01 15:00:00,1,12,20151101151,30.9,0.0,32,6.0,2015-11-01,No Event,No Event,0
2015-11-01 16:00:00,1,12,20151101161,30.6,0.0,32,8.2,2015-11-01,No Event,No Event,0
2015-11-01 17:00:00,1,16,20151101171,29.9,0.0,33,10.5,2015-11-01,No Event,No Event,0
2015-11-01 18:00:00,1,17,20151101181,28.4,0.0,38,11.2,2015-11-01,No Event,No Event,0
2015-11-01 19:00:00,1,20,20151101191,27.3,0.0,42,12.6,2015-11-01,No Event,No Event,0
2015-11-01 20:00:00,1,17,20151101201,26.3,0.0,46,13.0,2015-11-01,No Event,No Event,0
2015-11-01 21:00:00,1,19,20151101211,25.3,0.0,50,13.0,2015-11-01,No Event,No Event,0
2015-11-01 22:00:00,1,20,20151101221,24.5,0.0,53,12.2,2015-11-01,No Event,No Event,0
2015-11-01 23:00:00,1,15,20151101231,23.7,0.0,56,10.8,2015-11-01,No Event,No Event,0
2015-11-02 00:00:00,1,14,20151102001,23.0,0.0,60,10.1,2015-11-02,No Event,No Event,0
2015-11-02 01:00:00,1,12,20151102011,22.3,0.0,63,9.8,2015-11-02,No Event,No Event,0
2015-11-02 02:00:00,1,14,20151102021,21.8,0.0,65,9.6,2015-11-02,No Event,No Event,0
2015-11-02 03:00:00,1,12,20151102031,21.2,0.0,67,9.4,2015-11-02,No Event,No Event,0
2015-11-02 04:00:00,1,12,20151102041,20.8,0.0,69,9.2,2015-11-02,No Event,No Event,0
2015-11-02 05:00:00,1,11,20151102051,20.3,0.0,73,9.2,2015-11-02,No Event,No Event,0
2015-11-02 06:00:00,1,13,20151102061,20.0,0.0,76,9.6,2015-11-02,No Event,No Event,0
2015-11-02 07:00:00,1,14,20151102071,20.8,0.0,74,9.4,2015-11-02,No Event,No Event,0
2015-11-02 08:00:00,1,12,20151102081,23.6,0.0,64,12.7,2015-11-02,No Event,No Event,0
2015-11-02 09:00:00,1,22,20151102091,26.3,0.0,51,15.5,2015-11-02,No Event,No Event,0
2015-11-02 10:00:00,1,32,20151102101,28.2,0.0,39,14.0,2015-11-02,No Event,No Event,0
2015-11-02 11:00:00,1,31,20151102111,29.4,0.0,33,11.6,2015-11-02,No Event,No Event,0
2015-11-02 12:00:00,1,35,20151102121,30.1,0.0,32,10.1,2015-11-02,No Event,No Event,0
